route_id,trip_id,actual_arrival_delay_min,delay_risk,recommended_action,weather_condition,traffic_congestion_index
Route_15,T00000,3,Low,No operational action required,Storm,81
Route_12,T00001,9,Medium,Monitor route conditions,Rain,53
Route_16,T00002,0,Low,No operational action required,Clear,67
Route_19,T00003,10,Medium,Monitor route conditions,Clear,84
Route_8,T00004,14,Medium,Monitor route conditions,Snow,46
Route_17,T00005,4,Low,No operational action required,Rain,41
Route_5,T00006,28,Severe,Deploy standby bus,Storm,22
Route_16,T00007,23,High,Adjust service headway,Clear,85
Route_6,T00008,19,High,Adjust service headway,Clear,64
Route_8,T00009,3,Low,No operational action required,Fog,88
Route_18,T00010,8,Medium,Monitor route conditions,Snow,53
Route_12,T00011,21,High,Adjust service headway,Cloudy,91
Route_15,T00012,-1,Low,No operational action required,Clear,10
Route_9,T00013,22,High,Adjust service headway,Storm,62
Route_13,T00014,0,Low,No operational action required,Storm,21
Route_15,T00015,11,Medium,Monitor route conditions,Fog,53
Route_10,T00016,28,Severe,Deploy standby bus,Storm,88
Route_16,T00017,25,High,Adjust service headway,Fog,84
Route_7,T00018,6,Medium,Monitor route conditions,Clear,35
Route_17,T00019,17,High,Adjust service headway,Clear,57
Route_7,T00020,12,Medium,Monitor route conditions,Clear,19
Route_14,T00021,15,Medium,Monitor route conditions,Clear,15
Route_15,T00022,25,High,Adjust service headway,Cloudy,91
Route_7,T00023,14,Medium,Monitor route conditions,Snow,55
Route_9,T00024,12,Medium,Monitor route conditions,Snow,92
Route_19,T00025,-3,Low,No operational action required,Cloudy,49
Route_16,T00026,-2,Low,No operational action required,Clear,89
Route_8,T00027,11,Medium,Monitor route conditions,Storm,65
Route_18,T00028,24,High,Adjust service headway,Fog,73
Route_18,T00029,-3,Low,No operational action required,Snow,12
Route_20,T00030,1,Low,No operational action required,Rain,14
Route_7,T00031,18,High,Adjust service headway,Fog,72
Route_3,T00032,9,Medium,Monitor route conditions,Rain,26
Route_18,T00033,-3,Low,No operational action required,Rain,7
Route_10,T00034,12,Medium,Monitor route conditions,Clear,69
Route_7,T00035,18,High,Adjust service headway,Rain,99
Route_17,T00036,28,Severe,Deploy standby bus,Clear,49
Route_14,T00037,12,Medium,Monitor route conditions,Cloudy,87
Route_3,T00038,11,Medium,Monitor route conditions,Storm,66
Route_12,T00039,8,Medium,Monitor route conditions,Rain,25
Route_13,T00040,-3,Low,No operational action required,Storm,35
Route_2,T00041,13,Medium,Monitor route conditions,Clear,20
Route_3,T00042,24,High,Adjust service headway,Rain,76
Route_5,T00043,3,Low,No operational action required,Fog,51
Route_11,T00044,5,Low,No operational action required,Cloudy,10
Route_8,T00045,18,High,Adjust service headway,Snow,7
Route_12,T00046,22,High,Adjust service headway,Cloudy,56
Route_7,T00047,8,Medium,Monitor route conditions,Rain,45
Route_15,T00048,3,Low,No operational action required,Cloudy,77
Route_17,T00049,11,Medium,Monitor route conditions,Snow,96
Route_4,T00050,17,High,Adjust service headway,Fog,1
Route_13,T00051,10,Medium,Monitor route conditions,Storm,63
Route_18,T00052,-2,Low,No operational action required,Fog,51
Route_1,T00053,4,Low,No operational action required,Cloudy,64
Route_16,T00054,2,Low,No operational action required,Snow,10
Route_13,T00055,29,Severe,Deploy standby bus,Storm,5
Route_10,T00056,2,Low,No operational action required,Snow,95
Route_12,T00057,22,High,Adjust service headway,Fog,78
Route_2,T00058,10,Medium,Monitor route conditions,Clear,75
Route_3,T00059,4,Low,No operational action required,Clear,63
Route_10,T00060,9,Medium,Monitor route conditions,Storm,92
Route_2,T00061,9,Medium,Monitor route conditions,Storm,54
Route_13,T00062,24,High,Adjust service headway,Storm,43
Route_13,T00063,14,Medium,Monitor route conditions,Clear,85
Route_18,T00064,15,Medium,Monitor route conditions,Fog,13
Route_3,T00065,28,Severe,Deploy standby bus,Storm,82
Route_7,T00066,18,High,Adjust service headway,Clear,4
Route_14,T00067,-2,Low,No operational action required,Storm,98
Route_20,T00068,9,Medium,Monitor route conditions,Storm,24
Route_17,T00069,19,High,Adjust service headway,Snow,49
Route_12,T00070,21,High,Adjust service headway,Storm,72
