route_id,route_short_name,route_display_name,route_corridor_name,service_type,is_special_route,ai_delay_risk,ai_recommended_action,ai_confidence_band,records,share_pct
101-202,101,101,101 - Pt Chevalier / Auckland University Via Jervois Rd,Bus,False,Low,No operational action required,Low action probability,274,0.0082
101-202,101,101,101 - Pt Chevalier / Auckland University Via Jervois Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,2446,0.0733
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,False,Low,No operational action required,Low action probability,7609,0.2279
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,15334,0.4593
106-202,106,106,106 - Freemans Bay Loop,Bus,False,Low,No operational action required,Low action probability,1486,0.0445
106-202,106,106,106 - Freemans Bay Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,5858,0.1755
111-203,111,111,111 - Royal Heights Loop,Bus,False,Low,No operational action required,Low action probability,1904,0.057
111-203,111,111,111 - Royal Heights Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,3600,0.1078
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,False,Low,No operational action required,Low action probability,11066,0.3315
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,False,Medium,Monitor route conditions,Moderate action probability,1338,0.0401
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,False,Low,No operational action required,Low action probability,2322,0.0696
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,False,Medium,Monitor route conditions,Moderate action probability,4973,0.149
116-203,116,116,116 - West Hills Loop,Bus,False,Low,No operational action required,Low action probability,3988,0.1195
116-203,116,116,116 - West Hills Loop,Bus,False,Medium,Monitor route conditions,Moderate action probability,110,0.0033
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,False,Low,No operational action required,Low action probability,8607,0.2578
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,14441,0.4326
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,False,Low,No operational action required,Low action probability,8549,0.2561
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,False,Medium,Monitor route conditions,Moderate action probability,15082,0.4518
12-207,12,12,12 - Henderson / Constellation Station,Bus,False,Low,No operational action required,Low action probability,11518,0.345
12-207,12,12,12 - Henderson / Constellation Station,Bus,False,Medium,Monitor route conditions,Moderate action probability,21272,0.6372
122-202,122,122,122 - Huapai North / Westgate Via Kumeu,Bus,False,Low,No operational action required,Low action probability,1437,0.043
122-202,122,122,122 - Huapai North / Westgate Via Kumeu,Bus,False,Medium,Monitor route conditions,Moderate action probability,3321,0.0995
123-202,123,123,123 - Huapai Triangle / Westgate Via Kumeu,Bus,False,Low,No operational action required,Low action probability,1464,0.0439
123-202,123,123,123 - Huapai Triangle / Westgate Via Kumeu,Bus,False,Medium,Monitor route conditions,Moderate action probability,3355,0.1005
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,False,Low,No operational action required,Low action probability,3706,0.111
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,False,Medium,Monitor route conditions,Moderate action probability,6890,0.2064
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,False,Low,No operational action required,Low action probability,80,0.0024
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,False,Medium,Monitor route conditions,Moderate action probability,6555,0.1964
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,False,Low,No operational action required,Low action probability,186,0.0056
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,False,Medium,Monitor route conditions,Moderate action probability,5203,0.1559
128-202,128,128,128 - Hibiscus Coast Station / Helensville,Bus,False,High,Adjust service headway,High action probability,569,0.017
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,False,Low,No operational action required,Low action probability,1589,0.0476
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,False,Medium,Monitor route conditions,Moderate action probability,25162,0.7537
13-203,13,13,13 - Te Atatu Peninsula Loop / Henderson,Bus,False,High,Adjust service headway,High action probability,2403,0.072
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,False,Low,No operational action required,Low action probability,6190,0.1854
135-203,135,135,135 - Te Atatu (Totara Rd) / Henderson,Bus,False,Medium,Monitor route conditions,Moderate action probability,11124,0.3332
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,False,Low,No operational action required,Low action probability,520,0.0156
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,False,Medium,Monitor route conditions,Moderate action probability,26967,0.8078
14-202,14,14,14 - New Lynn / Lincoln Rd via Henderson,Bus,False,High,Adjust service headway,High action probability,853,0.0256
143-203,143,143,143 - Ranui / Henderson via Sturges Rd,Bus,False,Low,No operational action required,Low action probability,10001,0.2996
