source,explainability_type,feature,importance,notes
XGBoost classifier,mean_abs_shap,route_id_infrequent_sklearn,0.7580335140228271,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_326-203,0.46948835253715515,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_NX1-203,0.43177568912506104,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_738-221,0.41170284152030945,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,service_type_Train / Rail,0.4085555076599121,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,direction_id_0,0.4062022864818573,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,trip_hour,0.3785625994205475,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_747-221,0.3707565665245056,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_865-203,0.3646482825279236,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,weekday,0.3459053039550781,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_926-203,0.3394286036491394,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_902-203,0.33449608087539673,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_311-203,0.3206246495246887,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_170-203,0.3036777675151825,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_22N-202,0.2975016236305237,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_878-203,0.2965264618396759,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_889-203,0.29298245906829834,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_377-203,0.2860497534275055,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_CTY-202,0.27286192774772644,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_373-203,0.27195361256599426,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_391-203,0.2620762586593628,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_985-221,0.24916718900203705,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_116-203,0.22293293476104736,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_65-202,0.2216869443655014,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_309-203,0.21591034531593323,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_50B-217,0.21529695391654968,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,temperature_2m,0.20357771217823029,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_143-203,0.19967739284038544,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_744-221,0.19683672487735748,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,wind_speed_10m,0.19542506337165833,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_995-203,0.18585211038589478,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_OUT-202,0.17989499866962433,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_998-203,0.17691847681999207,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_147-203,0.15863139927387238,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_display_name_infrequent_sklearn,0.15409089624881744,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_EAST-201,0.14593279361724854,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_14-202,0.14147236943244934,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_502-217,0.1366328001022339,"Mean absolute SHAP value on 1,000 test rows."
XGBoost classifier,mean_abs_shap,route_id_22R-202,0.1339924931526184,"Mean absolute SHAP value on 1,000 test rows."
