model,target_type,target,metric,value,notes
Input,data,decision_engine_output,full_rows,3338383.0,
Input,data,modeling_sample,rows,199997.0,
Split,data,time_based,train_rows,154220.0,
Split,data,time_based,test_rows,45777.0,
Target distribution,classification,actionable_delay_risk,train_positive_share,0.219933,
Target distribution,classification,actionable_delay_risk,test_positive_share,0.232955,
Most frequent baseline,classification,actionable_delay_risk,accuracy,0.767045,
Most frequent baseline,classification,actionable_delay_risk,precision,0.0,
Most frequent baseline,classification,actionable_delay_risk,recall,0.0,
Most frequent baseline,classification,actionable_delay_risk,f1,0.0,
Most frequent baseline,classification,actionable_delay_risk,macro_f1,0.434083,
Most frequent baseline,classification,actionable_delay_risk,weighted_f1,0.665923,
Most frequent baseline,classification,actionable_delay_risk,true_negative_low,35113.0,
Most frequent baseline,classification,actionable_delay_risk,false_positive_actionable,0.0,
Most frequent baseline,classification,actionable_delay_risk,false_negative_actionable,10664.0,
Most frequent baseline,classification,actionable_delay_risk,true_positive_actionable,0.0,
XGBoost classifier,classification,actionable_delay_risk,accuracy,0.58276,
XGBoost classifier,classification,actionable_delay_risk,precision,0.328173,
XGBoost classifier,classification,actionable_delay_risk,recall,0.755439,
XGBoost classifier,classification,actionable_delay_risk,f1,0.457571,
XGBoost classifier,classification,actionable_delay_risk,macro_f1,0.559285,
XGBoost classifier,classification,actionable_delay_risk,weighted_f1,0.613609,
XGBoost classifier,classification,actionable_delay_risk,true_negative_low,18621.0,
XGBoost classifier,classification,actionable_delay_risk,false_positive_actionable,16492.0,
XGBoost classifier,classification,actionable_delay_risk,false_negative_actionable,2608.0,
XGBoost classifier,classification,actionable_delay_risk,true_positive_actionable,8056.0,
XGBoost classifier,classification,actionable_delay_risk,scale_pos_weight,3.546848,
Median baseline,regression,delay_minutes,mae,3.458601,
Median baseline,regression,delay_minutes,mse,29.860545,
Median baseline,regression,delay_minutes,rmse,5.46448,
Median baseline,regression,delay_minutes,r2,-0.016477,
XGBoost regressor,regression,delay_minutes,mae,3.303112,
XGBoost regressor,regression,delay_minutes,mse,26.63,
XGBoost regressor,regression,delay_minutes,rmse,5.160426,
XGBoost regressor,regression,delay_minutes,r2,0.093493,
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,mae,0.926694,"Hourly average delay baseline, not row-level prediction"
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,mse,1.510776,"Hourly average delay baseline, not row-level prediction"
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,rmse,1.229136,"Hourly average delay baseline, not row-level prediction"
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,r2,-0.144881,"Hourly average delay baseline, not row-level prediction"
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,train_hours,517.0,
"ARIMA(1,0,1) baseline",regression,hourly_avg_delay_minutes,test_hours,130.0,
