route_id,route_short_name,route_long_name,route_corridor_name,service_type,route_display_name,is_special_route,delay_risk,recommended_action,records,share_pct
101-202,101,101,101 - Pt Chevalier / Auckland University Via Jervois Rd,Bus,101,False,Low,No operational action required,1358,0.0407
101-202,101,101,101 - Pt Chevalier / Auckland University Via Jervois Rd,Bus,101,False,Medium,Monitor route conditions,1261,0.0378
101-202,101,101,101 - Pt Chevalier / Auckland University Via Jervois Rd,Bus,101,False,High,Adjust service headway,101,0.003
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,105,False,Low,No operational action required,16778,0.5026
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,105,False,Medium,Monitor route conditions,6106,0.1829
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,105,False,High,Adjust service headway,51,0.0015
105-202,105,105,105 - Westmere / Britomart Via Richmond Rd,Bus,105,False,Severe,Deploy standby bus or supervisor review,8,0.0002
106-202,106,106,106 - Freemans Bay Loop,Bus,106,False,Low,No operational action required,4609,0.1381
106-202,106,106,106 - Freemans Bay Loop,Bus,106,False,Medium,Monitor route conditions,2727,0.0817
106-202,106,106,106 - Freemans Bay Loop,Bus,106,False,High,Adjust service headway,5,0.0001
106-202,106,106,106 - Freemans Bay Loop,Bus,106,False,Severe,Deploy standby bus or supervisor review,3,0.0001
111-203,111,111,111 - Royal Heights Loop,Bus,111,False,Low,No operational action required,4579,0.1372
111-203,111,111,111 - Royal Heights Loop,Bus,111,False,Medium,Monitor route conditions,876,0.0262
111-203,111,111,111 - Royal Heights Loop,Bus,111,False,High,Adjust service headway,32,0.001
111-203,111,111,111 - Royal Heights Loop,Bus,111,False,Severe,Deploy standby bus or supervisor review,17,0.0005
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,112,False,Low,No operational action required,10995,0.3294
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,112,False,Medium,Monitor route conditions,1360,0.0407
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,112,False,High,Adjust service headway,40,0.0012
112-203,112,112,112 - Hob Pt Wharf / Northwest Via W Harbour,Bus,112,False,Severe,Deploy standby bus or supervisor review,9,0.0003
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,114,False,Low,No operational action required,5688,0.1704
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,114,False,Medium,Monitor route conditions,1488,0.0446
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,114,False,High,Adjust service headway,107,0.0032
114-203,114,114,114 - Hob Pt Wharf / Northwest Via Whenuapai,Bus,114,False,Severe,Deploy standby bus or supervisor review,12,0.0004
116-203,116,116,116 - West Hills Loop,Bus,116,False,Low,No operational action required,3896,0.1167
116-203,116,116,116 - West Hills Loop,Bus,116,False,Medium,Monitor route conditions,181,0.0054
116-203,116,116,116 - West Hills Loop,Bus,116,False,High,Adjust service headway,8,0.0002
116-203,116,116,116 - West Hills Loop,Bus,116,False,Severe,Deploy standby bus or supervisor review,13,0.0004
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,11T,False,Low,No operational action required,16623,0.4979
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,11T,False,Medium,Monitor route conditions,6252,0.1873
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,11T,False,High,Adjust service headway,153,0.0046
11T-207,11T,11T,11T - Northwest / City Centre Via Triangle Rd,Bus,11T,False,Severe,Deploy standby bus or supervisor review,20,0.0006
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,11W,False,Low,No operational action required,17216,0.5157
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,11W,False,Medium,Monitor route conditions,6229,0.1866
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,11W,False,High,Adjust service headway,169,0.0051
11W-207,11W,11W,11W - Northwest / City Centre Via Waimumu Rd,Bus,11W,False,Severe,Deploy standby bus or supervisor review,17,0.0005
12-207,12,12,12 - Henderson / Constellation Station,Bus,12,False,Low,No operational action required,23546,0.7053
12-207,12,12,12 - Henderson / Constellation Station,Bus,12,False,Medium,Monitor route conditions,8820,0.2642
12-207,12,12,12 - Henderson / Constellation Station,Bus,12,False,High,Adjust service headway,374,0.0112
12-207,12,12,12 - Henderson / Constellation Station,Bus,12,False,Severe,Deploy standby bus or supervisor review,50,0.0015
122-202,122,122,122 - Huapai North / Westgate Via Kumeu,Bus,122,False,Low,No operational action required,3989,0.1195
122-202,122,122,122 - Huapai North / Westgate Via Kumeu,Bus,122,False,Medium,Monitor route conditions,761,0.0228
122-202,122,122,122 - Huapai North / Westgate Via Kumeu,Bus,122,False,High,Adjust service headway,8,0.0002
123-202,123,123,123 - Huapai Triangle / Westgate Via Kumeu,Bus,123,False,Low,No operational action required,4029,0.1207
123-202,123,123,123 - Huapai Triangle / Westgate Via Kumeu,Bus,123,False,Medium,Monitor route conditions,771,0.0231
123-202,123,123,123 - Huapai Triangle / Westgate Via Kumeu,Bus,123,False,High,Adjust service headway,19,0.0006
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,125,False,Low,No operational action required,8223,0.2463
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,125,False,Medium,Monitor route conditions,2191,0.0656
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,125,False,High,Adjust service headway,121,0.0036
125-202,125,125,125 - Helensville / Westgate Via Kumeu,Bus,125,False,Severe,Deploy standby bus or supervisor review,61,0.0018
126-203,126,126,126 - Albany / Westgate Via Riverhead,Bus,126,False,Low,No operational action required,4022,0.1205
