collection_date,records,unique_routes,unique_trips,avg_delay_minutes,min_delay_minutes,max_delay_minutes,weather_match_records
2026-05-06,3944,156,1293,-0.61,-15.23333333,58.38333333,3944
2026-05-07,8848,172,1783,-0.35,-14.08333333,72.55,8848
2026-05-08,59417,460,8372,0.85,-30.58333333,75.81666667,59417
2026-05-09,110246,167,11255,0.05,-59.93333333,103.1,110246
2026-05-10,132896,382,13698,-0.59,-59.96666667,119.75,132896
2026-05-11,162013,509,14900,-1.08,-59.76666667,102.8666667,162013
2026-05-12,117450,458,11794,-0.76,-59.45,102.8666667,117450
2026-05-13,63275,382,8444,-0.52,-34.9,112.3666667,63275
2026-05-14,84967,458,10663,0.58,-59.56666666666667,119.95,84967
2026-05-15,119992,455,12099,0.48,-58.65,117.98333333333332,119992
2026-05-16,134665,169,11834,0.08,-59.73333333333333,109.55,134665
2026-05-17,150826,385,13826,-0.84,-53.56666666666667,72.66666666666667,150826
2026-05-18,96068,458,10459,-1.53,-59.36666666666667,86.18333333333334,96068
2026-05-19,180276,510,14955,-0.4,-58.98333333333333,98.76666666666668,180276
2026-05-20,178832,512,14967,-0.12,-58.15,107.28333333333332,178832
2026-05-21,128901,464,11666,-0.13,-59.78333333333333,102.35,128901
2026-05-22,145998,457,13753,-0.33,-38.68333333,119.5333333,145998
2026-05-23,106217,165,10264,-0.19,-59.1,119.8,106217
2026-05-24,152638,377,13939,-0.85,-57.7,119.78333333333332,152638
2026-05-25,152055,511,14874,-1.06,-58.86666666666667,97.96666666666668,152055
2026-05-26,168498,512,14905,-0.76,-59.38333333333333,86.68333333333334,168498
2026-05-27,71950,456,7757,0.25,-43.78333333333333,112.8,71950
