collection_date,route_id,route_short_name,route_long_name,records,unique_trips,avg_delay_minutes,max_delay_minutes
2026-05-06,105-202,105,105,31,9,-1.35,3.116666667
2026-05-06,106-202,106,106,11,3,-3.02,0.533333333
2026-05-06,111-203,111,111,10,3,-1.46,2.533333333
2026-05-06,112-203,112,112,24,8,-2.52,3.6
2026-05-06,114-203,114,114,5,2,-4.85,-3.15
2026-05-06,116-203,116,116,10,3,-1.14,0.716666667
2026-05-06,11T-207,11T,11T,32,11,-0.89,6.333333333
2026-05-06,11W-207,11W,11W,41,13,-1.18,5.966666667
2026-05-06,12-207,12,12,35,11,2.15,8.266666667
2026-05-06,122-202,122,122,4,1,-6.4,-6.4
2026-05-06,123-202,123,123,2,1,-6.42,-6.416666667
2026-05-06,125-202,125,125,9,4,-4.84,-0.316666667
2026-05-06,126-203,126,126,4,1,2.23,2.233333333
2026-05-06,128-202,128,128,5,2,1.75,11.75
2026-05-06,13-203,13,13,64,24,3.58,11.23333333
2026-05-06,135-203,135,135,16,5,4.19,7.466666667
2026-05-06,14-202,14,14,27,10,-5.67,0.783333333
2026-05-06,143-203,143,143,8,2,-2.71,-2.65
2026-05-06,145-203,145,145,24,8,-2.71,1.183333333
2026-05-06,147-203,147,147,30,9,-0.68,2.366666667
2026-05-06,148-203,148,148,19,6,0.12,3.233333333
2026-05-06,152-203,152,152,10,4,-0.65,3.2
2026-05-06,154-203,154,154,11,3,-0.16,3.233333333
2026-05-06,161-203,161,161,12,3,-2.02,0.283333333
2026-05-06,162-202,162,162,34,10,5.09,7.716666667
2026-05-06,170-203,170,170,11,3,3.04,10.8
2026-05-06,171-203,171,171,4,1,16.63,16.63333333
2026-05-06,172-203,172,172,12,4,3.97,7.233333333
2026-05-06,18-202,18,18,62,22,-1.32,4.633333333
2026-05-06,186-203,186,186,10,3,-7.54,-5.983333333
2026-05-06,191-203,191,191,1,1,-7.12,-7.116666667
2026-05-06,195-203,195,195,39,12,-1.01,13.73333333
2026-05-06,20-202,20,20,36,12,2.9,7.516666667
2026-05-06,22N-202,22N,22N,26,8,1.75,8.066666667
2026-05-06,22R-202,22R,22R,35,12,1.87,7.1
2026-05-06,24B-202,24B,24B,30,9,-0.14,11.13333333
2026-05-06,24R-202,24R,24R,33,10,-0.28,9.983333333
2026-05-06,25B-202,25B,25B,48,15,-1.03,7.85
2026-05-06,25L-202,25L,25L,45,15,-0.23,4.666666667
2026-05-06,27H-202,27H,27H,33,11,-1.73,6.233333333
2026-05-06,27W-202,27W,27W,36,11,-3.43,4.683333333
