collection_date,collection_day_status,is_model_baseline_day,route_id,service_type,route_display_name,is_special_route,records,unique_trips,avg_delay_minutes,max_delay_minutes
2026-05-06,partial_or_interrupted,False,105-202,Bus,105,False,31,9,-1.3494623656129032,3.116666667
2026-05-06,partial_or_interrupted,False,106-202,Bus,106,False,11,3,-3.0166666667272732,0.533333333
2026-05-06,partial_or_interrupted,False,111-203,Bus,111,False,10,3,-1.4600000002000002,2.533333333
2026-05-06,partial_or_interrupted,False,112-203,Bus,112,False,24,8,-2.524305555708333,3.6
2026-05-06,partial_or_interrupted,False,114-203,Bus,114,False,5,2,-4.8499999998,-3.15
2026-05-06,partial_or_interrupted,False,116-203,Bus,116,False,10,3,-1.1366666665999998,0.716666667
2026-05-06,partial_or_interrupted,False,11T-207,Bus,11T,False,32,11,-0.89010416678125,6.333333333
2026-05-06,partial_or_interrupted,False,11W-207,Bus,11W,False,41,13,-1.1756097559512195,5.966666667
2026-05-06,partial_or_interrupted,False,12-207,Bus,12,False,35,11,2.1519047618285714,8.266666667
2026-05-06,partial_or_interrupted,False,122-202,Bus,122,False,4,1,-6.4,-6.4
2026-05-06,partial_or_interrupted,False,123-202,Bus,123,False,2,1,-6.416666667,-6.416666667
2026-05-06,partial_or_interrupted,False,125-202,Bus,125,False,9,4,-4.838888889111111,-0.316666667
2026-05-06,partial_or_interrupted,False,126-203,Bus,126,False,4,1,2.233333333,2.233333333
2026-05-06,partial_or_interrupted,False,128-202,Bus,128,False,5,2,1.75,11.75
2026-05-06,partial_or_interrupted,False,13-203,Bus,13,False,64,24,3.583333332890625,11.23333333
2026-05-06,partial_or_interrupted,False,135-203,Bus,135,False,16,5,4.1916666665,7.466666667
2026-05-06,partial_or_interrupted,False,14-202,Bus,14,False,27,10,-5.674074074148148,0.783333333
2026-05-06,partial_or_interrupted,False,143-203,Bus,143,False,8,2,-2.7083333334999997,-2.65
2026-05-06,partial_or_interrupted,False,145-203,Bus,145,False,24,8,-2.710416666875,1.183333333
2026-05-06,partial_or_interrupted,False,147-203,Bus,147,False,30,9,-0.6800000001000001,2.366666667
2026-05-06,partial_or_interrupted,False,148-203,Bus,148,False,19,6,0.12456140336842107,3.233333333
2026-05-06,partial_or_interrupted,False,152-203,Bus,152,False,10,4,-0.6483333333,3.2
2026-05-06,partial_or_interrupted,False,154-203,Bus,154,False,11,3,-0.1621212121818181,3.233333333
2026-05-06,partial_or_interrupted,False,161-203,Bus,161,False,12,3,-2.0194444444166666,0.283333333
2026-05-06,partial_or_interrupted,False,162-202,Bus,162,False,34,10,5.0852941176764705,7.716666667
2026-05-06,partial_or_interrupted,False,170-203,Bus,170,False,11,3,3.0363636362727275,10.8
2026-05-06,partial_or_interrupted,False,171-203,Bus,171,False,4,1,16.63333333,16.63333333
2026-05-06,partial_or_interrupted,False,172-203,Bus,172,False,12,4,3.9749999999166667,7.233333333
2026-05-06,partial_or_interrupted,False,18-202,Bus,18,False,62,22,-1.3247311827741937,4.633333333
2026-05-06,partial_or_interrupted,False,186-203,Bus,186,False,10,3,-7.541666666599999,-5.983333333
2026-05-06,partial_or_interrupted,False,191-203,Bus,191,False,1,1,-7.116666667,-7.116666667
2026-05-06,partial_or_interrupted,False,195-203,Bus,195,False,39,12,-1.0068376064871793,13.73333333
2026-05-06,partial_or_interrupted,False,20-202,Bus,20,False,36,12,2.8972222221944444,7.516666667
2026-05-06,partial_or_interrupted,False,22N-202,Bus,22N,False,26,8,1.7461538461538462,8.066666667
2026-05-06,partial_or_interrupted,False,22R-202,Bus,22R,False,35,12,1.8733333333142859,7.1
2026-05-06,partial_or_interrupted,False,24B-202,Bus,24B,False,30,9,-0.13722222256666686,11.13333333
2026-05-06,partial_or_interrupted,False,24R-202,Bus,24R,False,33,10,-0.2823232327878788,9.983333333
2026-05-06,partial_or_interrupted,False,25B-202,Bus,25B,False,48,15,-1.0253472221458335,7.85
2026-05-06,partial_or_interrupted,False,25L-202,Bus,25L,False,45,15,-0.22777777777777777,4.666666667
2026-05-06,partial_or_interrupted,False,27H-202,Bus,27H,False,33,11,-1.7303030303030305,6.233333333
2026-05-06,partial_or_interrupted,False,27W-202,Bus,27W,False,36,11,-3.433796296277778,4.683333333
2026-05-06,partial_or_interrupted,False,295-202,Bus,295,False,15,4,1.3100000001333334,8.266666667
2026-05-06,partial_or_interrupted,False,298-221,Bus,298,False,24,8,-4.474999999958333,-0.866666667
2026-05-06,partial_or_interrupted,False,30-202,Bus,30,False,54,18,-2.801851851925926,3.083333333
2026-05-06,partial_or_interrupted,False,309-203,Bus,309,False,36,12,-2.168055555527778,6.85
2026-05-06,partial_or_interrupted,False,31-203,Bus,31,False,31,9,-2.4236559139354843,6.8
2026-05-06,partial_or_interrupted,False,311-203,Bus,311,False,15,5,-11.562222222466666,-1.166666667
2026-05-06,partial_or_interrupted,False,313-203,Bus,313,False,11,4,1.4045454555454546,10.81666667
2026-05-06,partial_or_interrupted,False,314-203,Bus,314,False,2,1,1.5,1.5
2026-05-06,partial_or_interrupted,False,32-203,Bus,32,False,34,11,0.3588235294411764,5.866666667
2026-05-06,partial_or_interrupted,False,323-221,Bus,323,False,25,8,-0.3086666665599999,6.133333333
2026-05-06,partial_or_interrupted,False,325-203,Bus,325,False,35,11,0.9338095238,8.583333333
2026-05-06,partial_or_interrupted,False,326-203,Bus,326,False,22,8,-7.321212121454545,0.483333333
2026-05-06,partial_or_interrupted,False,33-203,Bus,33,False,68,21,-1.4345588235441173,6.633333333
2026-05-06,partial_or_interrupted,False,35-205,Bus,35,False,22,7,-1.4174242425454546,2.466666667
2026-05-06,partial_or_interrupted,False,353-205,Bus,353,False,25,8,3.9813333333200003,8.8
2026-05-06,partial_or_interrupted,False,355-205,Bus,355,False,22,7,-0.8303030302272728,3.866666667
2026-05-06,partial_or_interrupted,False,36-203,Bus,36,False,33,10,0.17171717190909103,12.81666667
2026-05-06,partial_or_interrupted,False,362-203,Bus,362,False,23,9,3.575362318826087,9.8
2026-05-06,partial_or_interrupted,False,363-203,Bus,363,False,12,4,-0.9430555554166666,0.516666667
2026-05-06,partial_or_interrupted,False,364-203,Bus,364,False,27,10,-0.9444444445555555,11.23333333
2026-05-06,partial_or_interrupted,False,365-203,Bus,365,False,36,11,-0.12037037036111113,7.966666667
2026-05-06,partial_or_interrupted,False,366-203,Bus,366,False,26,8,-1.2057692306923076,2.2
2026-05-06,partial_or_interrupted,False,37-203,Bus,37,False,28,9,-0.05892857139285714,2.733333333
2026-05-06,partial_or_interrupted,False,372-203,Bus,372,False,12,4,-1.1152777776666667,2.083333333
2026-05-06,partial_or_interrupted,False,373-203,Bus,373,False,11,3,13.865151514363635,53.28333333
2026-05-06,partial_or_interrupted,False,376-203,Bus,376,False,14,4,2.149999999857143,4.266666667
2026-05-06,partial_or_interrupted,False,377-203,Bus,377,False,13,4,-4.674358974461539,-1.866666667
2026-05-06,partial_or_interrupted,False,378-203,Bus,378,False,11,3,0.29848484836363637,6.033333333
2026-05-06,partial_or_interrupted,False,379-203,Bus,379,False,9,3,1.9296296295555555,4.75
2026-05-06,partial_or_interrupted,False,38-203,Bus,38,False,55,18,-1.6512121212545454,5.9
2026-05-06,partial_or_interrupted,False,39-203,Bus,39,False,28,9,0.26369047596428574,58.38333333
2026-05-06,partial_or_interrupted,False,391-203,Bus,391,False,12,4,-1.6527777775833332,0.35
2026-05-06,partial_or_interrupted,False,392-203,Bus,392,False,15,5,0.9655555554,2.333333333
2026-05-06,partial_or_interrupted,False,393-203,Bus,393,False,12,4,-0.3402777776666666,0.366666667
2026-05-06,partial_or_interrupted,False,394-203,Bus,394,False,6,2,-0.14722222250000003,1.133333333
2026-05-06,partial_or_interrupted,False,396-203,Bus,396,False,6,2,0.7166666663333334,2.183333333
2026-05-06,partial_or_interrupted,False,501-217,Bus,501,False,14,6,1.7238095237142856,9.416666667
2026-05-06,partial_or_interrupted,False,502-217,Bus,502,False,15,5,0.7244444444666668,4.4
2026-05-06,partial_or_interrupted,False,50A-217,Bus,50A,False,19,6,-1.192982456105263,6.9
2026-05-06,partial_or_interrupted,False,64-202,Bus,64,False,51,18,-1.929411764764706,0.983333333
2026-05-06,partial_or_interrupted,False,65-202,Bus,65,False,57,18,-1.911403508736842,4.483333333
2026-05-06,partial_or_interrupted,False,66-203,Bus,66,False,44,14,-2.5768939392727273,3.316666667
2026-05-06,partial_or_interrupted,False,67A-202,Bus,67A,False,25,10,-2.3679999996,13.55
2026-05-06,partial_or_interrupted,False,67B-202,Bus,67B,False,7,3,-0.6976190474285714,-0.233333333
2026-05-06,partial_or_interrupted,False,68-202,Bus,68,False,19,6,-5.552631579,-1.0
2026-05-06,partial_or_interrupted,False,70-205,Bus,70,False,66,21,-0.23813131309090907,9.65
2026-05-06,partial_or_interrupted,False,711-221,Bus,711,False,5,2,3.186666667,4.066666667
2026-05-06,partial_or_interrupted,False,712-221,Bus,712,False,17,5,-4.187254901823529,0.55
2026-05-06,partial_or_interrupted,False,72C-205,Bus,72C,False,24,8,0.611805555625,4.516666667
2026-05-06,partial_or_interrupted,False,72M-205,Bus,72M,False,29,10,1.3568965515172413,11.33333333
2026-05-06,partial_or_interrupted,False,733-221,Bus,733,False,10,3,-4.2849999999,1.35
2026-05-06,partial_or_interrupted,False,734-221,Bus,734,False,6,2,-0.30555555566666665,0.733333333
2026-05-06,partial_or_interrupted,False,735-221,Bus,735,False,6,2,-3.244444444666667,0.1
2026-05-06,partial_or_interrupted,False,738-221,Bus,738,False,4,1,-4.316666667,-4.316666667
2026-05-06,partial_or_interrupted,False,739-221,Bus,739,False,1,1,-4.016666667,-4.016666667
2026-05-06,partial_or_interrupted,False,74-221,Bus,74,False,35,11,-2.5685714287714285,1.35
2026-05-06,partial_or_interrupted,False,744-221,Bus,744,False,25,8,-2.19733333328,0.666666667
2026-05-06,partial_or_interrupted,False,747-221,Bus,747,False,22,7,-1.5371212121363635,-0.45
2026-05-06,partial_or_interrupted,False,75-202,Bus,75,False,58,20,-0.04798850579310348,10.4
2026-05-06,partial_or_interrupted,False,751-202,Bus,751,False,12,4,-1.2124999997500001,0.4
2026-05-06,partial_or_interrupted,False,755-202,Bus,755,False,15,5,-1.5555555556,1.85
2026-05-06,partial_or_interrupted,False,76-202,Bus,76,False,39,13,-1.1337606836410257,3.266666667
2026-05-06,partial_or_interrupted,False,781-202,Bus,781,False,12,4,-2.6347222223333335,-0.05
2026-05-06,partial_or_interrupted,False,782-221,Bus,782,False,10,3,-4.1383333331,-0.983333333
2026-05-06,partial_or_interrupted,False,783-221,Bus,783,False,7,3,-4.952380952428571,1.166666667
2026-05-06,partial_or_interrupted,False,801-202,Bus,801,False,27,9,-1.4895061728518517,2.916666667
2026-05-06,partial_or_interrupted,False,806-202,Bus,806,False,9,3,-1.5092592594444445,-0.816666667
2026-05-06,partial_or_interrupted,False,807-202,Bus,807,False,10,3,5.4433333334,8.116666667
2026-05-06,partial_or_interrupted,False,814-202,Bus,814,False,26,10,-1.1160256410769231,2.266666667
2026-05-06,partial_or_interrupted,False,82-202,Bus,82,False,30,11,-0.2988888889333332,5.45
2026-05-06,partial_or_interrupted,False,83-203,Bus,83,False,60,21,0.8938888890666666,5.2
2026-05-06,partial_or_interrupted,False,843-202,Bus,843,False,14,6,-1.4142857144285714,2.783333333
2026-05-06,partial_or_interrupted,False,856-203,Bus,856,False,50,17,0.9256666667000001,9.2
2026-05-06,partial_or_interrupted,False,861-203,Bus,861,False,31,10,-1.890322580516129,1.166666667
2026-05-06,partial_or_interrupted,False,865-203,Bus,865,False,26,9,-0.1275641025769231,1.833333333
2026-05-06,partial_or_interrupted,False,866-203,Bus,866,False,12,4,3.5638888890833336,8.466666667
2026-05-06,partial_or_interrupted,False,871-202,Bus,871,False,24,8,-0.23541666658333338,3.266666667
2026-05-06,partial_or_interrupted,False,878-203,Bus,878,False,36,12,0.9532407406388889,6.166666667
2026-05-06,partial_or_interrupted,False,883-203,Bus,883,False,13,4,2.3474358965384616,12.43333333
2026-05-06,partial_or_interrupted,False,889-203,Bus,889,False,3,1,-1.266666667,-1.266666667
2026-05-06,partial_or_interrupted,False,901-203,Bus,901,False,22,8,-1.8803030303636363,1.383333333
2026-05-06,partial_or_interrupted,False,902-203,Bus,902,False,19,6,-1.4421052630526314,0.25
2026-05-06,partial_or_interrupted,False,906-203,Bus,906,False,27,9,-1.8092592592962962,1.816666667
2026-05-06,partial_or_interrupted,False,907-203,Bus,907,False,22,8,-1.2651515151363635,0.816666667
2026-05-06,partial_or_interrupted,False,917-203,Bus,917,False,14,6,-0.8214285714285714,3.266666667
2026-05-06,partial_or_interrupted,False,923-202,Bus,923,False,27,9,-0.8074074074444445,7.7
2026-05-06,partial_or_interrupted,False,926-203,Bus,926,False,23,8,-0.24565217400000003,1.983333333
2026-05-06,partial_or_interrupted,False,94-203,Bus,94,False,26,10,0.8448717949615384,3.3
2026-05-06,partial_or_interrupted,False,941-203,Bus,941,False,28,8,-0.12857142864285706,7.75
2026-05-06,partial_or_interrupted,False,95B-203,Bus,95B,False,28,9,3.457142857285714,8.666666667
2026-05-06,partial_or_interrupted,False,95C-203,Bus,95C,False,26,9,1.7012820519615384,12.91666667
2026-05-06,partial_or_interrupted,False,97B-203,Bus,97B,False,25,8,3.98,10.45
2026-05-06,partial_or_interrupted,False,97R-203,Bus,97R,False,24,7,2.916666666125,15.58333333
2026-05-06,partial_or_interrupted,False,981-221,Bus,981,False,22,8,1.1356060606363636,4.166666667
2026-05-06,partial_or_interrupted,False,982-221,Bus,982,False,27,10,-1.8888888889259259,1.683333333
2026-05-06,partial_or_interrupted,False,983-221,Bus,983,False,27,9,-3.011728395,2.266666667
2026-05-06,partial_or_interrupted,False,985-221,Bus,985,False,25,8,-2.91733333328,-0.466666667
2026-05-06,partial_or_interrupted,False,986-221,Bus,986,False,1,1,-3.283333333,-3.283333333
2026-05-06,partial_or_interrupted,False,AIR-203,Bus,AIR,False,48,15,-1.06111111125,12.43333333
2026-05-06,partial_or_interrupted,False,CTY-202,Bus,CTY,False,51,16,-5.452287581470588,5.333333333
2026-05-06,partial_or_interrupted,False,DEV-209,Ferry,DEV,False,3,1,0.0,0.0
2026-05-06,partial_or_interrupted,False,EAST-201,Train / Rail,EAST,False,42,12,-0.2083333333095238,2.866666667
2026-05-06,partial_or_interrupted,False,HMB-209,Ferry,HMB,False,4,1,0.0,0.0
2026-05-06,partial_or_interrupted,False,INN-202,Bus,INN,False,67,21,-2.0099502488059704,4.866666667
2026-05-06,partial_or_interrupted,False,MTIA-209,Ferry,MTIA,False,8,2,0.0,0.0
2026-05-06,partial_or_interrupted,False,MTID-241,Ferry,MTID,False,32,14,0.522916666625,4.183333333
2026-05-06,partial_or_interrupted,False,NX1-203,Bus,NX1,False,86,27,0.25077519376744184,5.8
2026-05-06,partial_or_interrupted,False,NX2-207,Bus,NX2,False,53,18,-0.26415094339622636,3.966666667
2026-05-06,partial_or_interrupted,False,ONE-201,Train / Rail,ONE,False,35,10,0.01761904757142857,0.866666667
2026-05-06,partial_or_interrupted,False,OUT-202,Bus,OUT,False,69,24,-4.15628019315942,4.583333333
2026-05-06,partial_or_interrupted,False,RBW-402,Bus,RBW,False,17,5,-0.12745098041176467,3.1
2026-05-06,partial_or_interrupted,False,STH-201,Train / Rail,STH,True,57,15,-0.4064327484736842,2.75
2026-05-06,partial_or_interrupted,False,TMK-202,Bus,TMK,False,49,16,1.7323129251428573,4.1
