route_id,service_type,route_display_name,is_special_route,records,avg_delay_minutes,max_delay_minutes
HUIA-404,Train / Rail,HUIA,False,164,56.303680554325396,242.2333333
128-202,Bus,128,False,7012,7.578744151109094,40.56666666666667
126-203,Bus,126,False,7593,4.11612127478771,111.76666666666668
HOBS-209,Ferry,HOBS,False,355,3.8233518000908515,15.0
807-202,Bus,807,False,7108,3.6133847330085094,61.38333333333333
376-203,Bus,376,False,10386,3.0512341217273495,61.68333333
392-203,Bus,392,False,10585,2.530803482869115,16.45
981-221,Bus,981,False,18355,2.4487897537746637,59.18333333333333
395-203,Bus,395,False,1202,2.313673987900329,52.266666666666666
RBS-402,Bus,RBS,False,5860,2.279170668475993,35.666666666666664
RBN-402,Bus,RBN,False,224,2.2021756756756754,8.4
83-203,Bus,83,False,40797,2.1324648867328646,48.35
RBO-402,Bus,RBO,False,2082,2.1294097563508996,32.96666666666667
856-203,Bus,856,False,29220,2.1094990693634923,38.93333333333333
362-203,Bus,362,False,18522,1.9184553013208732,40.68333333333333
DEV-209,Ferry,DEV,False,3600,1.841943944376108,10.0
MTIA-209,Ferry,MTIA,False,4558,1.746346853335118,30.0
314-203,Bus,314,False,14256,1.6445937169777183,79.58333333333333
147-203,Bus,147,False,16245,1.6022083002270173,81.16666666666667
WEST-201,Train / Rail,WEST,False,109735,1.5855678810251934,687.8666666666667
365-203,Bus,365,False,23745,1.5823029786792313,75.4
775-202,Bus,775,False,5787,1.5709336074726963,38.35
HMB-209,Ferry,HMB,False,2247,1.5424479261341746,15.0
39-203,Bus,39,False,36178,1.50217414331881,88.35
111-203,Bus,111,False,6595,1.4904713702092456,51.51666667
995-203,Bus,995,False,9358,1.440261994329935,66.25
502-217,Bus,502,False,15685,1.436979766977984,102.35
33-203,Bus,33,False,46805,1.399994632435061,85.76666666666667
501-217,Bus,501,False,7840,1.3959101493694304,24.85
172-203,Bus,172,False,13656,1.3955193435176647,240.15
32-203,Bus,32,False,30824,1.3949191676160355,78.53333333
711-221,Bus,711,False,10034,1.3690691873790322,28.566666666666663
324-203,Bus,324,False,12170,1.0933327530034227,63.5
114-203,Bus,114,False,8486,1.0486664917116326,53.71666667
RANG-209,Ferry,RANG,False,1859,0.981111111111111,15.0
396-203,Bus,396,False,5152,0.9796888027623857,31.6
984-221,Bus,984,False,4412,0.9733672020367321,60.85
806-202,Bus,806,False,7183,0.8413638104096569,18.61666667
843-202,Bus,843,False,14280,0.788811229044993,85.16666666666667
TMK-202,Bus,TMK,False,34171,0.7827262557710032,55.41666666666666
94-203,Bus,94,False,28653,0.7671944472878585,64.38333333333334
861-203,Bus,861,False,21964,0.7473444702535846,197.88333333333333
996-203,Bus,996,False,1511,0.7327004107315322,12.633333333333333
ONE-201,Train / Rail,ONE,False,85942,0.7273504434232325,477.1666666666667
38-203,Bus,38,False,37548,0.7232950935860407,62.95
GULF-209,Ferry,GULF,False,2401,0.7124756631640369,20.0
393-203,Bus,393,False,9408,0.6438375655143419,46.68333333333333
70-205,Bus,70,False,68594,0.6415234969692595,366.4166666666667
72M-205,Bus,72M,False,16746,0.6125524768439842,76.98333333
372-203,Bus,372,False,9077,0.6042613963935065,17.91666667
