service_type,route_display_name,route_corridor_name,route_id,is_special_route,delay_risk,recommended_action,records,unique_trips,avg_delay_minutes,max_delay_minutes
Train / Rail,STH,"STH - Brit 4 / Pukekohe 1 Via NKT 4, OHU 3, Papakura 1",STH-201,true,Low,No operational action required,123191,435,-0.004,5.0
Train / Rail,EAST,EAST - Manukau 1 / Brit 1 Via Panmure,EAST-201,false,Low,No operational action required,118441,397,0.018,5.0
Train / Rail,WEST,WEST - Brit 2 / Swanson 1 Via Newmarket 1,WEST-201,false,Low,No operational action required,105532,621,0.253,5.0
Train / Rail,ONE,ONE - Newmarket 4 / Onehunga,ONE-201,false,Low,No operational action required,84655,220,0.034,4.933
Bus,NX1,NX1 - Britomart (Lower Albert St) / Albany Station,NX1-203,false,Low,No operational action required,76019,572,0.358,5.0
Bus,NX2,NX2 - Hibiscus Coast Station / Auckland Universities,NX2-207,false,Low,No operational action required,48676,438,-0.882,5.0
Bus,70,70 - Botany / Britomart Via Panmure,70-205,false,Low,No operational action required,45012,594,-0.032,5.0
Bus,18,18 - City Centre / New Lynn Via Great North Rd,18-202,false,Low,No operational action required,39217,505,-0.767,5.0
Bus,WX1,WX1 - City Centre / Northwest Via Motorway,WX1-207,false,Low,No operational action required,36702,393,-1.206,5.0
Bus,INN,INN - Inner Link Anticlockwise / Inner Link Anticlockwise (VP),INN-202,false,Low,No operational action required,35812,618,-0.646,5.0
Bus,33,33 - Papakura Interchange / Otahuhu Station Via Great South Rd,33-203,false,Low,No operational action required,33843,422,0.14,5.0
Bus,75,75 - Glen Innes / Wynyard Quarter Via Remuera Rd,75-202,false,Low,No operational action required,33197,480,-0.328,5.0
Bus,83,83 - Massey University / Takapuna Via Browns Bay,83-203,false,Low,No operational action required,31057,471,0.92,5.0
Bus,25L,25L - Lynfield / City Centre Via Dominion Rd,25L-202,false,Low,No operational action required,30925,387,-0.345,5.0
Bus,37,"37 - Manurewa / Highbrook via Roscommon, Puhinui and Preston Rd",37-203,false,Low,No operational action required,30060,611,-0.415,5.0
Bus,64,64 - St Lukes / Newmarket Via Mt Eden,64-202,false,Low,No operational action required,29948,346,-0.909,5.0
Bus,OUT,OUT - St Lukes / Newmarket Via Wellesley St,OUT-202,false,Low,No operational action required,29948,464,-1.25,5.0
Bus,TMK,TMK - Glen Innes / Britomart Via St Heliers And Tamaki Dr,TMK-202,false,Low,No operational action required,29738,428,0.049,5.0
Bus,38,38 - Airport / Onehunga via Mangere Town Centre,38-203,false,Low,No operational action required,29521,371,0.089,5.0
Bus,25B,25B - Blockhouse Bay / City Centre Via Dominion Rd,25B-202,false,Low,No operational action required,29179,357,-0.751,5.0
Bus,65,65 - Walker Park / Glen Innes,65-202,false,Low,No operational action required,28791,340,-0.154,5.0
Bus,30,30 - Onehunga / City Centre Via Manukau Rd,30-202,false,Low,No operational action required,28615,438,-0.42,5.0
Bus,66,66 - Pt Chevalier Beach / Sylvia Park Via Mt Albert Rd,66-203,false,Low,No operational action required,28510,259,-0.614,5.0
Bus,76,76 - Britomart / Glen Innes Via Orakei,76-202,false,Low,No operational action required,28148,248,-0.785,5.0
Bus,12,12 - Henderson / Constellation Station,12-207,false,Low,No operational action required,27144,252,-0.567,5.0
Bus,AIR,AIR - Airport Link via Puhinui Station,AIR-203,false,Low,No operational action required,26565,248,-0.573,5.0
Bus,74,74 - Onehunga / Glen Innes Via Panmure,74-221,false,Low,No operational action required,26068,244,-0.675,5.0
Bus,39,39 - Manurewa Interchange / Otara / MIT Via Mahia Rd,39-203,false,Low,No operational action required,26061,405,-0.176,5.0
Bus,82,82 - Milford / Mayoral Dr Via Takapuna,82-202,false,Low,No operational action required,24867,303,-0.44,5.0
Bus,31,31 - Mangere Town Centre / Botany Town Centre Via Otara,31-203,false,Low,No operational action required,24420,249,-0.725,5.0
Bus,36,36 - Manukau / Onehunga via Mangere Town Centre,36-203,false,Low,No operational action required,24117,298,-0.186,5.0
Bus,94,94 - Beach Haven / Takapuna via Highbury And Northcote Shops,94-203,false,Low,No operational action required,23638,237,0.171,5.0
Bus,32,32 - Mangere Town Centre / Sylvia Park via Otahuhu,32-203,false,Low,No operational action required,23487,355,0.006,5.0
Bus,35,35 - Ormiston / Botany Via Chapel Rd,35-205,false,Low,No operational action required,23019,246,-0.728,5.0
Bus,20,20 - St Lukes / Wynyard Quarter Via Kingsland,20-202,false,Low,No operational action required,22691,244,-0.884,4.967
Bus,856,856 - Albany Station / Browns Bay,856-203,false,Low,No operational action required,21780,298,0.711,5.0
Bus,OUT,OUT - St Lukes / Newmarket Via Wellesley St,OUT-202,false,Medium,Monitor route conditions,21494,436,-6.977,15.0
Bus,13,13 - Te Atatu Peninsula Loop / Henderson,13-203,false,Low,No operational action required,21341,234,0.173,5.0
Bus,70,70 - Botany / Britomart Via Panmure,70-205,false,Medium,Monitor route conditions,20934,535,-0.687,15.0
Bus,325,325 - Mangere Town Ctr / Manukau Station Via Otahuhu & Otara,325-203,false,Low,No operational action required,20515,246,-0.232,5.0
Bus,11W,11W - Northwest / City Centre Via Waimumu Rd,11W-207,false,Low,No operational action required,20297,176,-0.077,5.0
Bus,INN,INN - Inner Link Anticlockwise / Inner Link Anticlockwise (VP),INN-202,false,Medium,Monitor route conditions,20097,589,-6.215,15.0
Bus,11T,11T - Northwest / City Centre Via Triangle Rd,11T-207,false,Low,No operational action required,19785,178,-0.361,5.0
Bus,105,105 - Westmere / Britomart Via Richmond Rd,105-202,false,Low,No operational action required,19551,303,-1.11,5.0
Bus,24B,24B - New Lynn And Blockhouse Bay / City Centre Via Sandringham R,24B-202,false,Low,No operational action required,19521,270,-0.523,5.0
Bus,14,14 - New Lynn / Lincoln Rd via Henderson,14-202,false,Low,No operational action required,19327,457,-0.578,5.0
