service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20260415,20260418
Daily-2,1,1,1,1,1,1,1,20260419,20260731
Daily-3,1,1,1,1,1,1,1,20260419,20260731
Daily-4,1,1,1,1,1,1,1,20260415,20260731
Daily-5,1,1,1,1,1,1,1,20260415,20260731
Daily-6,1,1,1,1,1,1,1,20260415,20260421
ExMon-1,0,1,1,1,1,1,1,20260415,20260421
ExSat-1,1,1,1,1,1,0,1,20260419,20260731
ExSun-1,1,1,1,1,1,1,0,20260419,20260731
ExSun-2,1,1,1,1,1,1,0,20260415,20260731
ExTue-1,1,0,1,1,1,1,1,20260415,20260731
FriSat-1,0,0,0,0,1,1,0,20260419,20260731
FriSat-2,0,0,0,0,1,1,0,20260415,20260418
FriSat-3,0,0,0,0,1,1,0,20260415,20260731
FriSat-4,0,0,0,0,1,1,0,20260415,20260421
FriSat-5,0,0,0,0,1,1,0,20260415,20260731
Friday-1,0,0,0,0,1,0,0,20260415,20260418
Friday-2,0,0,0,0,1,0,0,20260419,20260731
Friday-3,0,0,0,0,1,0,0,20260415,20260731
Friday-4,0,0,0,0,1,0,0,20260415,20260731
Friday-5,0,0,0,0,1,0,0,20260415,20260731
Monday-1,1,0,0,0,0,0,0,20260415,20260421
Other-1,0,0,0,0,0,0,0,20260419,20260731
Other-10,0,0,0,0,0,0,0,20260419,20260731
Other-11,0,0,0,0,0,0,0,20260419,20260731
Other-12,0,0,0,0,0,0,0,20260415,20260731
Other-13,0,0,0,0,0,0,0,20260419,20260731
Other-14,0,0,0,0,0,0,0,20260419,20260731
Other-15,0,0,0,0,0,0,0,20260419,20260731
Other-16,0,0,0,0,0,0,0,20260419,20260731
Other-17,0,0,0,0,0,0,0,20260419,20260731
Other-18,0,0,0,0,0,0,0,20260419,20260731
Other-19,0,0,0,0,0,0,0,20260415,20260731
Other-2,0,0,0,0,0,0,0,20260419,20260731
Other-20,0,0,0,0,0,0,0,20260415,20260731
Other-21,0,0,0,0,0,0,0,20260415,20260731
Other-22,0,0,0,0,0,0,0,20260415,20260731
Other-23,0,0,0,0,0,0,0,20260419,20260731
Other-24,0,0,0,0,0,0,0,20260422,20260731
Other-25,0,0,0,0,0,0,0,20260415,20260731
Other-26,0,0,0,0,0,0,0,20260422,20260731
Other-27,0,0,0,0,0,0,0,20260415,20260731
Other-28,0,0,0,0,0,0,0,20260422,20260731
Other-29,0,0,0,0,0,0,0,20260415,20260731
Other-3,0,0,0,0,0,0,0,20260419,20260731
Other-30,0,0,0,0,0,0,0,20260422,20260731
Other-31,0,0,0,0,0,0,0,20260415,20260731
Other-32,0,0,0,0,0,0,0,20260422,20260731
Other-33,0,0,0,0,0,0,0,20260422,20260731
Other-34,0,0,0,0,0,0,0,20260422,20260731
Other-35,0,0,0,0,0,0,0,20260415,20260731
Other-36,0,0,0,0,0,0,0,20260415,20260731
Other-37,0,0,0,0,0,0,0,20260415,20260731
Other-38,0,0,0,0,0,0,0,20260422,20260731
Other-39,0,0,0,0,0,0,0,20260415,20260731
Other-4,0,0,0,0,0,0,0,20260415,20260731
Other-40,0,0,0,0,0,0,0,20260415,20260731
Other-41,0,0,0,0,0,0,0,20260415,20260731
Other-42,0,0,0,0,0,0,0,20260415,20260731
Other-5,0,0,0,0,0,0,0,20260419,20260731
Other-6,0,0,0,0,0,0,0,20260415,20260731
Other-7,0,0,0,0,0,0,0,20260419,20260731
Other-8,0,0,0,0,0,0,0,20260419,20260731
Other-9,0,0,0,0,0,0,0,20260419,20260731
Saturday-1,0,0,0,0,0,1,0,20260419,20260731
Saturday-2,0,0,0,0,0,1,0,20260415,20260731
Saturday-3,0,0,0,0,0,1,0,20260415,20260731
Saturday-4,0,0,0,0,0,1,0,20260415,20260731
Saturday-5,0,0,0,0,0,1,0,20260415,20260731
Saturday-6,0,0,0,0,0,1,0,20260415,20260731
Saturday-7,0,0,0,0,0,1,0,20260415,20260731
Saturday-8,0,0,0,0,0,1,0,20260415,20260731
Saturday-9,0,0,0,0,0,1,0,20260415,20260731
Sunday-1,0,0,0,0,0,0,1,20260415,20260731
Sunday-2,0,0,0,0,0,0,1,20260415,20260731
Sunday-3,0,0,0,0,0,0,1,20260415,20260731
Sunday-4,0,0,0,0,0,0,1,20260415,20260731
Sunday-5,0,0,0,0,0,0,1,20260415,20260731
Sunday-6,0,0,0,0,0,0,1,20260415,20260731
Thursday-1,0,0,0,1,0,0,0,20260415,20260418
Thursday-2,0,0,0,1,0,0,0,20260415,20260731
Tuesday-1,0,1,0,0,0,0,0,20260415,20260731
Wednesday-1,0,0,1,0,0,0,0,20260415,20260418
Wednesday-2,0,0,1,0,0,0,0,20260415,20260731
Wednesday-3,0,0,1,0,0,0,0,20260415,20260731
Wednesday-4,0,0,1,0,0,0,0,20260415,20260731
Weekday-1,1,1,1,1,1,0,0,20260415,20260418
Weekday-10,1,1,1,1,1,0,0,20260415,20260731
Weekday-11,1,1,1,1,1,0,0,20260415,20260731
Weekday-12,1,1,1,1,1,0,0,20260415,20260731
Weekday-13,1,1,1,1,1,0,0,20260415,20260731
Weekday-14,1,1,1,1,1,0,0,20260415,20260731
Weekday-15,1,1,1,1,1,0,0,20260415,20260731
Weekday-16,1,1,1,1,1,0,0,20260415,20260731
Weekday-17,1,1,1,1,1,0,0,20260415,20260731
Weekday-18,1,1,1,1,1,0,0,20260415,20260731
Weekday-19,1,1,1,1,1,0,0,20260415,20260421
Weekday-2,1,1,1,1,1,0,0,20260419,20260731
Weekday-20,1,1,1,1,1,0,0,20260415,20260731
Weekday-21,1,1,1,1,1,0,0,20260423,20260731
Weekday-3,1,1,1,1,1,0,0,20260419,20260731
Weekday-4,1,1,1,1,1,0,0,20260415,20260731
Weekday-5,1,1,1,1,1,0,0,20260415,20260731
Weekday-6,1,1,1,1,1,0,0,20260415,20260731
Weekday-7,1,1,1,1,1,0,0,20260415,20260731
Weekday-8,1,1,1,1,1,0,0,20260415,20260731
Weekday-9,1,1,1,1,1,0,0,20260415,20260731
Weekend-1,0,0,0,0,0,1,1,20260415,20260418
Weekend-2,0,0,0,0,0,1,1,20260419,20260731
Weekend-3,0,0,0,0,0,1,1,20260415,20260731
Weekend-4,0,0,0,0,0,1,1,20260415,20260421
Weekend-5,0,0,0,0,0,1,1,20260415,20260731
Weekend-6,0,0,0,0,0,1,1,20260415,20260731
Weekend-7,0,0,0,0,0,1,1,20260415,20260731
WkExFri-1,1,1,1,1,0,0,0,20260415,20260731
WkExFri-2,1,1,1,1,0,0,0,20260415,20260731
WkExFri-3,1,1,1,1,0,0,0,20260415,20260731
WkExFri-4,1,1,1,1,0,0,0,20260415,20260731
WkExMon-1,0,1,1,1,1,0,0,20260415,20260731
WkExMon-2,0,1,1,1,1,0,0,20260415,20260731
WkExWed-1,1,1,0,1,1,0,0,20260415,20260731
